Start (s);End (s);Scientific name;Common name;Confidence
0.0;3.0;Phylloscopus collybita;Luì piccolo;0.9385421
3.0;6.0;Phylloscopus collybita;Luì piccolo;0.84519553
9.0;12.0;Phylloscopus collybita;Luì piccolo;0.89941347
