Start (s);End (s);Scientific name;Common name;Confidence
0.0;3.0;Serinus serinus;Verzellino;0.9694993
3.0;6.0;Serinus serinus;Verzellino;0.84369713
6.0;9.0;Serinus serinus;Verzellino;0.73682356
9.0;12.0;Serinus serinus;Verzellino;0.84090865
12.0;15.0;Serinus serinus;Verzellino;0.86173767
