Start (s);End (s);Scientific name;Common name;Confidence
3.0;6.0;Serinus serinus;Verzellino;0.765793
9.0;12.0;Serinus serinus;Verzellino;0.8770082
12.0;15.0;Serinus serinus;Verzellino;0.7642286
