Start (s);End (s);Scientific name;Common name;Confidence
0.0;3.0;Aegithalos caudatus;Codibugnolo;0.88893586
3.0;6.0;Aegithalos caudatus;Codibugnolo;0.79607064
9.0;12.0;Aegithalos caudatus;Codibugnolo;0.86611396
