Start (s);End (s);Scientific name;Common name;Confidence
0.0;3.0;Serinus serinus;Verzellino;0.8952976
6.0;9.0;Serinus serinus;Verzellino;0.9598188
9.0;12.0;Serinus serinus;Verzellino;0.95249075
12.0;15.0;Serinus serinus;Verzellino;0.95198435
